SerialSeq,Serial,Surname,FirstName,MiddleInitMostly,Suffix,RankRole,Unit2011,UnitDesc,UnitMap,Unit2014,Unit2016,Unit2019,Name,Unit2020,MiddleName
4170,4170,Stephen,Alexander,C,,Police Officer Detective,,North Pct Ops - Burg/Theft North,,B129D,,,,,
4170,4170,Stephen,Alexander,C,,Police Officer Detective,B129D,,,,,,,,
4178,4178,Garcia,Peggy,,,Info Tech Pro B,,Data Driven Analysts,,,,C040A,,,
4178,4178,Garcia,Peggy,I,,nfo Tech Pro B,,Systems Sustainment,,,C371S,,,,
4178,4178,Garcia,Peggy,I,,nfo Tech Pro B,,Comm - Sustainment,,C310S,,,,,
4178,4178,Garcia,Peggy,,,Info Tech Pro B,C300S,Sustainment,,,,,,,
4178,4178,Garcia,Peggy,,,Info Tech Pro B,,Data Driven Analysts,,,,,"Garcia, Peggy",C040A,
4188,4188,Abe,David,A,,Police Sergeant,B611X,Operational Support Unit, Unavail,,,,,,
4193,4193,Aratani,J,Kevin,,Police Sergeant Detective,,Robbery Squad B,,,,B712S,,,
4193,4193,Aratani,J,K,,evin Police Sergeant,,Robbery Squad,,,B712R,,,,
4193,4193,Aratani,J,K,,evin Police Sergeant,,Robbery Squad,,B712R,,,,,
4193,4193,Aratani,J,Kevin,,Police Sergeant,B712R,Robbery Squad,,,,,,,
4193,4193,Aratani,J,K,,Police Sergeant Detective,,Hr - Department Unavailable Person~,,,,,"Aratani, J Kevin",A810X,Kevin
4196,4196,Allers,Charles,E,,Police Officer,B625D,Harbor, Squad D,,,,,,
4197,4197,Gough,Christy,,,Police Officer,1361 is,Spoc,,,,,,,
4205,4205,Mason,Kevin,R,,Police Sergeant,,South Pct,2Nd W - Robert,B232R,,,,,
4205,4205,Mason,Kevin,R,,Police Sergeant,B232R,South Pct 2Nd W, Robert,,,,,,
4219,4219,Heintz,Richard,B,,Police Officer,,Southwest Pct,2Nd W - Frank,,B252F,,,,
4219,4219,Heintz,Richard,B,,Police Officer,,Southwest Pct,2Nd W - Pct Suppor,B252P,,,,,
4219,4219,Heintz,Richard,B,,Police Officer,B252P,Southwest Pct 2Nd W, Pct Suppo:,,,,,,
4220,4220,Ku,David,Yu,,Police Officer,6122L,North Pct 2Nd W, Lincoln,,,,,,
4221,4221,Henderson,Mervyn,J,,r Police Officer,,Human Resources - Dept Unavail P,,C320X,,,,,
4221,4221,Henderson,Mervyn,Jr,,Police Officer,B121L,North Pct 1St W, Lincoln,,,,,,
4226,4226,Lopez,Ruben,,,Police Officer,B111D,West Pct 1St W, David,,,,,,
4228,4228,Wolph,Steven,J,,Police Officer,C312R,,,,,,,,
4229,4229,Vandergiessen,Douglas,J,,Police Sergeant,,Spoc,,C711S,,,,,
4229,4229,Vandergiessen,Douglas,J,,Police Sergeant,B611S,Spoc,,,,,,,
4230,4230,Edwards,William,E,J,r Manager Ii,,Parking Enforcement Unit,,C637,,,,,
4230,4230,Edwards,William,E,Jr,Manager li,B640,Parking Enforcement Section,,,,,,,
4232,4232,Sykes,Cyndie,J,,"Police Comm, Dispatcher li",C312C,Comm, 3Rd W,,,,,,
4236,4236,Sundin,Casey,L,,Acting Police Sergeant,,East Pct Ops - Cpt,,,B249C,,,,
4236,4236,Sundin,Casey,L,,Police Officer,,East Pct Ops - Cpt,,B249C,,,,,
4236,4236,Sundin,Casey,L,,Police Officer,B249C,East Pct Ops    Cpt,,,,,,,
4237,4237,Allen,Danny,L,,Police Officer,B242C,East Pot 2Nd W, Charlie,,,,,,
4248,4248,Woodside,H,,Renee R,"Parking Enfor Officer, Spvsr",B641E,,,,,,,,
4251,4251,Boone,Doris,L,,Parking Enfor Officer,,Human Resources - Dept Unavail P,,C320X,,,,,
4251,4251,Boone,Doris,L,,Parking Enfor Officer,B641A,Parking Enforcement, P1 Squad,,,,,,
4252,4252,Kilburg,Steven,T,,Police Officer Detective    B711A,Homicide Squad A,,,,,,,,
4253,4253,Carr,Alan,P,,Police Officer Detective,,Hr - Background Investigations,,,C021B,,,,
4253,4253,Carr,Alan,P,,Police Officer,,Motorcycle Unit - T,3 Squad,C632C,,,,,
4253,4253,Carr,Alan,P,,Police Officer,B632C,Motorcycle Unit, T3 Squad,,,,,,
4254,4254,Kuehn,Mark,E,,Police Lieutenant,,Traf - Motorcycle Unit,,,B632,,,,
4254,4254,Kuehn,Mark,E,,Police Lieutenant,,Motorcycle Unit,,C632,,,,,
4254,4254,Kuehn,Mark,E,,Police Lieutenant,B631,Enforcement Unit,,,,,,,
4255,4255,Odonnell,Richard,H,,Police Officer Detective,,Intell - Special Invest And Assignme,,C752,,,,,
4255,4255,Odonnell,Richard,H,,Police Officer Detective,B601B,,,,,,,,
4256,4256,Olson,Marc,S,,Police Lieutenant,,Harbor Unit,,C625,,,,,
4256,4256,Olson,Marc,S,,Police Lieutenant,8625,,,,,,,,
4258,4258,Smith,Donald,R,,Police Sergeant,,Am Enforcement,,C631A,,,,,
4258,4258,Smith,Donald,R,,Acting Police Lieutenant,B631,Enforcement Unit,,,,,,,
4261,4261,Miller,Donna,M,,Admin Specialist Iii,,Criminal History - Juvenile Records,,C522J,,,,,
4261,4261,Miller,Donna,M,,Admin Specialist Ili,C513,Juvenile Records Unit,,,,,,,
4262,4262,Priest,Diane,H,,Victim Advocate,B711V,Violent Crime Advocates,,,,,,,
4265,4265,Garcia,Robert,L,,Police Officer,,Traf - Motorcycle Unit - T,2 Squad,,B632B,,,,
4265,4265,Garcia,Robert,L,,Police Officer,,Motorcycle Unit - T,2 Squad,C632B,,,,,
4265,4265,Garcia,Robert,L,,Police Officer,B632X,Motorcycle Unit, Unavail Personm,,,,,,
4266,4266,Olsen,Margaret,P,,Planning & Development Specialist,,Community Outreach - Advisory Co,,,B051A,,,,
4266,4266,Olsen,Margaret,P,,Planning & Development Specialist,,Advisory Council Detail,,C382A,,,,,
4266,4266,Olsen,Margaret,P,,Planning & Development Specialist,B051A,,,,,,,,
4271,4271,Tamayo,Simeon,A,Jr,Police Lieutenant,,Hr - Department Unavailable Person,,,,A810X,,,
4271,4271,Tamayo,Simeon,A,J,r Police Lieutenant,,Sau - Sexual Assault And Child Abu,,,B722,,,,
4271,4271,Tamayo,Simeon,A,J,r Police Lieutenant,,Training Administration Unit,,A565,,,,,
4271,4271,Tamayo,Simeon,A,Jr,Police Lieutenant,B111,West Pct 1St W,,,,,,,
4272,4272,Lebar,Albert,P,,olice Officer,,East Pct Ops - Cpt,,,B249C,,,,
4272,4272,Lebar,Albert,P,,olice Officer Detective,,Community Outreach Squad,,C382B,,,,,
4272,4272,Leber,Albert,,,Police Officer Detective,B0516,Youth Violence Initiative,,,,,,,
4273,4273,Doucet,Cecie,A,,Police Officer,,Hr - Human Resources - Dept Unava,,,C020X,,,,
4273,4273,Doucet,Cecie,A,,Police Officer,,West Pct,2Nd W - Pct Support,B112P,,,,,
4273,4273,Doucet,Cecie,A,,Police Officer,B113P,West Pct 3Rd W    Pct Support,,,,,,,
4281,4281,Mochizuki,Ronald,T,,Police Captain,,Communications Section,,,,C310,,,
4281,4281,Mochizuki,Ronald,T,,Police Captain,,Hr - Human Resources - Dept Unava,,,C020X,,,,
4281,4281,Mochizuki,Ronald,T,,Police Captain,,Traffic Section,,C630,,,,,
4281,4281,Mochizuki,Ronald,T,,Police Captain,B720,Special Victim Crimes Section,,,,,,,
4281,4281,Mochizuki,Ronald,T,,Police Captain,,Communications Section,,,,,"Mochizuki, Ronald T",C310,T
4293,4293,Stone,Diane,K,,Victim Advocate,,Dv Squad C - Elder Abuse & Fraud,,,B721C,,,,
4293,4293,Stone,Diane,K,,Victim Advocate,,Dv Squad C - Elder Abuse & Fraud,,B721C,,,,,
4294,4294,Wrede,Christopher,L,,Strategic Advisor I,,Hr - Background Investigations,,,,A810B,,,
4294,4294,Wrede,Christopher,L,,Strategic Advisor I,,Hr - Background Investigations,,,C021B,,,,
4294,4294,Wrede,Christopher,L,,Strategic Advisor I,,Background Investigations,,C321B,,,,,
4294,4294,Wrede,Christopher,L,,Police Officer Detective,B752B,,,,,,,,
4294,4294,Wrede,Christopher,L,,Strategic Advisor I,,Hr - Background Investigations,,,,,"Wrede, Christopher L",A810B,L
4297,4297,Alcayaga,Isabelo,R,,Video Specialist Ii,,Video Unit,,,B761V,,,,
4297,4297,Alcayaga,Isabelo,R,,Video Specialist Ii,,Video Unit,,B761V,,,,,
4297,4297,Alcayaga,Isabel,R,,Video Specialist li,B761V,Video Unit,,,,,,,
4306,4306,Mcfadden,Gregory,A,,Police Officer,,Hr - Human Resources - Dept Unava,,,C020X,,,,
4306,4306,Mcfadden,Gregory,A,,Police Officer,,Neighborhood Policing - Deploymen,,C003D,,,,,
4306,4306,Mcfadden,Gregory,A,,Police Officer,C003D,Neighborhood Policing, Deployme,,,,,,
4307,4307,"Sparby,",Steven,D,,Police Officer,B233P,,,,,,,,
4310,4310,Pike,Tom,D,,Police Officer Detective,,Systems Sustainment,,,C371S,,,,
4310,4310,Pike,Tom,D,,Police Officer Detective,,Inv Bureau - Special Asgn,,B790,,,,,
4310,4310,Pike,Tom,D,,Acting Police Sergeant Detective,B790,Inv Bureau, Special Asgn,,,,,,
4311,4311,Striedinger,Edward,A,,Police Lieutenant,,South Pct,3Rd W,,B233,,,,
4311,4311,Striedinger,Edward,A,,Police Sergeant,,Southwest Pct,2Nd W - William,B252W,,,,,
4311,4311,Striedinger,Edward,A,,Police Sergeant,B753A,Major Crimes Task Force,,,,,,,
4313,4313,Steiger,Cloyd,A,,Police Officer Detective,,Homicide Squad C,,,B711C,,,,
4313,4313,Steiger,Cloyd,A,,Police Officer Detective,,Homicide Squad C,,B711C,,,,,
4313,4313,Steiger,Cloyd,A,,Police Officer Detective,B711C,,,,,,,,
4320,4320,George,Donald,W,,Police Officer,,North Pct,1St W - L/U Relief,,B121T,,,,
4320,4320,George,Donald,W,,Police Officer,,North Pct,1St W - Union,B121U,,,,,
4320,4320,George,Donald,WHI,,Police Officer,B121J,North Pct 1St W, John,,,,,,
4321,4321,Edwards,Paul,F,,Police Officer,,Southwest Pct,1St W - Pct Support,,B251P,,,,
4321,4321,Edwards,Paul,F,,Police Officer,,Southwest Pct,1St W - Pct Support,B251P,,,,,
4321,4321,Edwards,Paul,F,,Police Officer,B251P,Southwest Pet 1St W, Pct Suppor,,,,,,
4322,4322,Lamb,Leland,G,,Police Sergeant,,West Pct,3Rd W - David,B113D,,,,,
4322,4322,Lamb,Leland,G,,Police Sergeant,61130,West Pct 3Rd W, Queen,,,,,,
4324,4324,Ferrara,Richard,O,,Police Officer,,Harbor - Squad C,,,B625C,,,,
4324,4324,Ferrara,Richard,O,,Police Officer,,Harbor - Squad C,,C625C,,,,,
4324,4324,Groves,Richard,0,,Police Officer,B625C,Harbor, Squad C,,,,,,
4325,4325,Gracy,Paul,J,,Police Sergeant,,West Pct Ops - Cpt,,,B119C,,,,
4325,4325,Gracy,Paul,J,,Police Sergeant,,West Pct Ops - Cpt,,B119C,,,,,
4325,4325,Gracy,Paul,J,,Police Sergeant,B119C,West Pct Ops, Cpt,,,,,,
4326,4326,Emerick,Jon,T,,Police Officer,,North Pct,3Rd W - Nora,,B123N,,,,
4326,4326,Emerick,Jon,T,,Police Officer,,North Pct,3Rd W - Nora,B123N,,,,,
4326,4326,Emerick,Jon,T,,Police Officer,B123N,North Pct 3Rd W, Nora,,,,,,
4329,4329,Verhaar,Peter,A,,Police Sergeant Detective,,Training - Firearms Squad A,,,,C121R,,,
4329,4329,Verhaar,Peter,A,,Police Sergeant Detective,,Crime Analysis Unit - Analysts,,,C371A,,,,
4329,4329,Verhaar,Peter,A,,Police Sergeant Detective,,Crime Analysis Unit,,C371,,,,,
4329,4329,Verhaar,Peter,A,,Police Sergeant Detective,B101,Crime Analysis Unit,,,,,,,
4329,4329,Verhaar,Peter,A,,Police Sergeant,,Hr - Department Unavailable Person~,,,,,"Verhaar, Peter A",A810X,A
4331,4331,Rees,Philippe,A,,Police Officer,,Southwest Pct,2Nd W - F/W Relief,,B252T,,,,
4331,4331,Rees,Philippe,A,,Police Officer,,Southwest Pct,2Nd W - William,B252W,,,,,
4331,4331,Rees,Philippe,A,,Police Officer,B252W,Southwest Pct 2Nd W, William,,,,,,
4340,4340,Wong,Judy,S,,L Police Data Technician,,Data Center - Graveyard Shift,,,,C521C,,,
4340,4340,Wong,Judy,S L,,Police Data Technician,,Data Center - Graveyard Shift,,,C521C,,,,
4340,4340,Wong,Judy,S L,,Police Data Technician,,Data Center - Graveyard Shift,,C521C,,,,,
4340,4340,Wong,Judy,S L,,Police Data Technician,C521C,,,,,,,,
4340,4340,Wong,Judy S,L,,Police Data Technician,,Data Center - Graveyard Shift,,,,,"Wong, Judy S L",C521C,L
4341,4341,Howard,Mark,J,,Strategic Advisor Ii,A200A,Emergency Management Unit,,,,,,,
4351,4351,Robbin,Robert,G,,Police Sergeant,C361R,Firearms Training,,,,,,,
4357,4357,Derezes,Sammy,G,,Police Sergeant,,Southwest Pct,3Rd W - Frank,B253F,,,,,
4357,4357,Derezes,Sammy,G,,Police Sergeant.,B253F,Southwest Pct 3Rd W, Frank,,,,,,
4364,4364,Nolting,Patrick,D,,Police Officer,,West Pct,1St W - David/Mary,B111D,,,,,
4364,4364,Nolting,Patrick,D,,Police Officer,B111D,,,,,,,,
4368,4368,Smith,Ronald,L,,Police Lieutenant,,Southwest Pct Ops,,,B259,,,,
4368,4368,Smith,Ronald,L,,Police Lieutenant,,Southwest Pct Ops,,B259,,,,,
4368,4368,Smith,Ronald,L,,Police Lieutenant,B252,Southwest Pct 2Nd W,,,,,,,
4376,4376,Harris,Jerry,P,,Police Sergeant,,North Pct,3Rd W - Nora,,B123N,,,,
4376,4376,Harris,Jerry,P,,Police Sergeant,,Traf - Motorcycle Unit - T,3 Squad,,,B632C,,,
4376,4376,Harris,Jerry,P,,Police Sergeant,,North Pct,3Rd W - Nora,B123N,,,,,
4376,4376,Harris,Jerry,P,,Police Sergeant,B123N,North Pct 3Rd W, Nora,,,,,,
4376,4376,Harris,Jerry,P,,Police Sergeant,,Traf - Motorcycle Unit - T3 Squad,,,,,"Harris, Jerry P",B632C,P
4379,4379,Shean,Christopher,J,,Acting Police Officer Detective,,West Pct Ops - Commercial Sec,,,,B119E,,,
